timestamp,ecu_id,signal,value,unit,status,action
00:00:01,SEAT_ECU,seat_length,40,%,OK,INITIAL
00:00:05,SEAT_ECU,seat_height,50,%,OK,INITIAL
00:00:10,SEAT_ECU,backrest_angle,20,deg,OK,INITIAL

00:01:00,SEAT_ECU,seat_length,45,%,OK,ADJUST_FORWARD
00:01:10,SEAT_ECU,seat_length,50,%,OK,ADJUST_FORWARD

00:02:00,SEAT_ECU,seat_height,55,%,OK,RAISE
00:02:10,SEAT_ECU,seat_height,60,%,OK,RAISE

00:03:00,SEAT_ECU,backrest_angle,25,deg,OK,RECLINE
00:03:10,SEAT_ECU,backrest_angle,30,deg,OK,RECLINE

00:04:00,SEAT_ECU,seat_length,48,%,OK,ADJUST_BACK
00:04:10,SEAT_ECU,seat_height,58,%,OK,LOWER

00:05:00,SEAT_ECU,seat_length,52,%,OK,ADJUST_FORWARD
00:05:05,SEAT_ECU,seat_length,71,%,OK,ADJUST_FORWARD
00:05:07,SEAT_ECU,seat_length,88,%,OK,ADJUST_FORWARD
00:05:10,SEAT_ECU,seat_height,62,%,OK,RAISE
00:05:20,SEAT_ECU,backrest_angle,35,deg,OK,RECLINE

00:06:00,SEAT_ECU,seat_length,95,%,OK,ADJUST_FORWARD
00:06:02,SEAT_ECU,seat_length,80,%,OK,ADJUST_BACK
00:06:04,SEAT_ECU,seat_length,65,%,OK,ADJUST_BACK
00:06:05,SEAT_ECU,seat_length,52,%,OK,STABLE

00:07:00,SEAT_ECU,backrest_angle,45,deg,OK,RECLINE
00:07:05,SEAT_ECU,backrest_angle,35,deg,OK,STABLE

00:08:00,SEAT_ECU,seat_height,50,%,OK,LOWER
00:08:05,SEAT_ECU,seat_height,60,%,OK,RAISE

00:09:00,SEAT_ECU,seat_length,55,%,OK,ADJUST_FORWARD
00:09:10,SEAT_ECU,seat_height,65,%,OK,RAISE
00:09:20,SEAT_ECU,backrest_angle,40,deg,OK,RECLINE

00:10:00,SEAT_ECU,seat_length,55,%,OK,STABLE
00:10:00,SEAT_ECU,seat_height,65,%,OK,STABLE
00:10:00,SEAT_ECU,backrest_angle,40,deg,OK,STABLE
